Timestamp,"Which painting is most similar to this painting (e.g. based on style, ambiance, color)?","Which painting is most similar to this painting (e.g. based on style, ambiance, color)?","Which painting is most similar to this painting (e.g. based on style, ambiance, color)?","Which painting is most similar to this painting (e.g. based on style, ambiance, color)?","Which painting is most similar to this painting (e.g. based on style, ambiance, color)?"
12/5/2022 22:15:06,Option 2,Option 1,Option 2,Option 1,Option 1
12/5/2022 22:15:13,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 22:15:14,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 22:21:13,Option 2,Option 1,Option 2,Option 1,Option 1
12/5/2022 22:25:46,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 22:27:35,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 22:27:44,Option 2,Option 1,Option 2,Option 1,Option 2
12/5/2022 22:28:07,Option 2,Option 2,Option 2,Option 2,Option 1
12/5/2022 22:29:41,Option 2,Option 2,Option 2,Option 2,Option 1
12/5/2022 22:29:42,Option 2,Option 1,Option 2,Option 1,Option 1
12/5/2022 22:30:52,Option 2,Option 1,Option 2,Option 2,Option 2
12/5/2022 22:33:04,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 22:33:33,Option 2,Option 2,Option 1,Option 1,Option 1
12/5/2022 22:33:46,Option 2,Option 1,Option 1,Option 2,Option 1
12/5/2022 22:33:59,Option 1,Option 1,Option 2,Option 1,Option 2
12/5/2022 22:35:41,Option 2,Option 1,Option 2,Option 1,Option 1
12/5/2022 22:36:00,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 22:36:54,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 22:38:03,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 22:39:01,Option 2,Option 2,Option 2,Option 1,Option 1
12/5/2022 22:40:43,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 22:41:19,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 22:43:29,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 22:44:27,Option 2,Option 1,Option 2,Option 1,Option 1
12/5/2022 22:45:42,Option 2,Option 1,Option 2,Option 1,Option 1
12/5/2022 22:46:36,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 22:46:41,Option 2,Option 1,Option 1,Option 1,Option 1
12/5/2022 22:47:03,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 22:48:18,Option 2,Option 1,Option 2,Option 1,Option 1
12/5/2022 22:49:05,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 22:51:10,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 22:51:21,Option 2,Option 1,Option 1,Option 2,Option 2
12/5/2022 22:51:28,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 22:51:31,Option 2,Option 1,Option 2,Option 2,Option 2
12/5/2022 22:59:32,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 23:00:43,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 23:02:34,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 23:03:52,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 23:09:53,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 23:20:00,Option 2,Option 1,Option 2,Option 1,Option 1
12/5/2022 23:23:58,Option 2,Option 2,Option 2,Option 2,Option 1
12/5/2022 23:27:56,Option 2,Option 1,Option 2,Option 1,Option 1
12/5/2022 23:29:20,Option 2,Option 1,Option 2,Option 2,Option 1
12/5/2022 23:31:36,Option 2,Option 1,Option 2,Option 1,Option 1
12/5/2022 23:32:17,Option 2,Option 1,Option 2,Option 1,Option 1
12/5/2022 23:34:44,Option 2,Option 1,Option 2,Option 1,Option 1
12/6/2022 0:27:38,Option 2,Option 1,Option 2,Option 2,Option 1
12/6/2022 0:46:13,Option 2,Option 1,Option 2,Option 2,Option 1
12/6/2022 1:03:41,Option 2,Option 1,Option 2,Option 1,Option 1
12/6/2022 1:20:23,Option 2,Option 1,Option 2,Option 1,Option 2
12/6/2022 1:42:37,Option 2,Option 1,Option 2,Option 2,Option 1
12/6/2022 2:31:35,Option 2,Option 1,Option 2,Option 2,Option 1
12/6/2022 2:48:25,Option 2,Option 1,Option 2,Option 2,Option 2
12/6/2022 8:04:06,Option 2,Option 1,Option 2,Option 2,Option 1
12/6/2022 10:07:37,Option 2,Option 1,Option 2,Option 2,Option 1
12/6/2022 12:18:21,Option 2,Option 1,Option 2,Option 2,Option 1
12/7/2022 21:06:50,Option 2,Option 1,Option 2,Option 1,Option 1